Clusters,Silhouette,Davies_Bouldin,Calinski_Harabasz,Silhouette_Rank,Davies_Bouldin_Rank,Calinski_Harabasz_Rank,Average_Rank
2,0.30383577255669936,1.2258470148415057,27.035956730306708,1.0,3.0,1.0,1.6666666666666667
3,0.29205608405627626,1.2053579727194303,25.53424742313972,3.0,2.0,2.0,2.3333333333333335
4,0.2525425938079227,1.2611278855493426,21.79587870129495,4.0,4.0,3.0,3.6666666666666665
5,0.3001389532257923,1.0497960385887857,21.16122291040672,2.0,1.0,4.0,2.3333333333333335
