Model,Specification,RMSE,MAE,WAPE
Model 2,Seasonal_Only_52,587628.2963190607,504893.98547671107,1.26860129067802
Model 3,"Order (0, 1, 1) | Seasonal (0, 0, 0, 0)",1070199.7553106318,915134.6295500598,2.299375721608606
Model 1,Moving Average (2),1116579.4396016684,797684.2294711539,2.0042687616988557
